ID, Start Lat, Start Lon, End Lat, End Lon, num of paths, num of overlaps
3412,40.76081624092496,-73.96289759791414,40.76024012476743,-73.96150918218886,1,341
3413,40.762116367268185,-73.96013063848311,40.76272172695521,-73.9615700906866,1,321
3414,40.76272172695521,-73.9615700906866,40.7631128824453,-73.96251482432741,1,321
3415,40.7631128824453,-73.96251482432741,40.7631128824453,-73.96251482432741,1,301
3416,40.7631128824453,-73.96251482432741,40.764056871028025,-73.96475577275655,1,301
3417,40.772179866705386,-73.86738543661055,40.772179866705386,-73.86738543661055,2,169
3418,40.76777098553861,-73.90161061067009,40.76794272142521,-73.90270640483587,1,316
3419,40.76794272142521,-73.90270640483587,40.76811501610536,-73.90387595975122,1,316
3420,40.76811501610536,-73.90387595975122,40.768359395154405,-73.90437682504304,1,316
3421,40.768359395154405,-73.90437682504304,40.76863599796525,-73.90510754075142,1,316
3422,40.76863599796525,-73.90510754075142,40.768700445488854,-73.90559760270114,1,316
3423,40.768700445488854,-73.90559760270114,40.76877159853514,-73.90608095912816,1,316
3424,40.76877159853514,-73.90608095912816,40.76890459140177,-73.90690257192185,1,316
3425,40.76890459140177,-73.90690257192185,40.76906999429472,-73.90799594464889,1,316
3426,40.76906999429472,-73.90799594464889,40.76924899449756,-73.90910887515044,1,316
3427,40.76924899449756,-73.90910887515044,40.76933672508605,-73.90967605061105,1,316
3428,40.76933672508605,-73.90967605061105,40.76937677195765,-73.90993458576354,1,316
3429,40.76937677195765,-73.90993458576354,40.7694250144681,-73.91024732389108,1,316
3430,40.7694250144681,-73.91024732389108,40.769372301609195,-73.91031326153085,1,181
3431,40.769372301609195,-73.91031326153085,40.76893085469896,-73.91085510501686,1,181
3432,40.76893085469896,-73.91085510501686,40.7688570939494,-73.91095885435399,1,181
3433,40.7688570939494,-73.91095885435399,40.76794868188982,-73.91169925581737,1,181
3434,40.76794868188982,-73.91169925581737,40.76550060731547,-73.91369452134582,1,181
3435,40.76550060731547,-73.91369452134582,40.76570568455098,-73.9141324292302,1,73
3436,40.76570568455098,-73.9141324292302,40.765871832502,-73.91448651808098,1,73
3437,40.765871832502,-73.91448651808098,40.76624566539181,-73.91528373022267,1,73
3438,40.76624566539181,-73.91528373022267,40.76662527248171,-73.91609323582261,1,73
3439,40.76662527248171,-73.91609323582261,40.76502898555314,-73.917399881424,1,73
3440,40.76502898555314,-73.917399881424,40.765406916262364,-73.91818964298493,1,55
3441,40.765406916262364,-73.91818964298493,40.765406916262364,-73.91818964298493,1,46
3442,40.765406916262364,-73.91818964298493,40.765771808455256,-73.91899318812027,1,46
3443,40.76320340700157,-73.92108922275355,40.76357109316225,-73.92187376890794,1,10
3444,40.72503166031163,-73.99537989486858,40.72515068333933,-73.99528489996385,1,800
3445,40.72515068333933,-73.99528489996385,40.72593448443564,-73.99464787530857,1,1082
3446,40.73260405807057,-73.9876832586754,40.73329267799763,-73.9871816483255,1,3201
3447,40.73329267799763,-73.9871816483255,40.73397887648595,-73.98668208688532,1,3201
3448,40.73397887648595,-73.98668208688532,40.73461906763805,-73.98621549426501,1,3201
3449,40.73461906763805,-73.98621549426501,40.73520393822798,-73.98578950730986,1,3342
3450,40.73520393822798,-73.98578950730986,40.73579104399214,-73.98536184397403,1,3342
3451,40.73579104399214,-73.98536184397403,40.73637535578852,-73.9849360432834,1,3342
3452,40.73637535578852,-73.9849360432834,40.73696227528816,-73.98450875247661,2,4208
3453,40.73696227528816,-73.98450875247661,40.73754267552963,-73.98408593201829,1,3342
3454,40.73754267552963,-73.98408593201829,40.73815772097165,-73.9836379658499,1,3342
3455,40.73882622433065,-73.98314790390017,40.73949621780581,-73.98266436120862,1,3342
3456,40.74253083935076,-73.94921963548406,40.742316821418335,-73.94809627416944,1,2889
3457,40.742316821418335,-73.94809627416944,40.742081755595244,-73.94688872129221,1,2889
3458,40.742081755595244,-73.94688872129221,40.74198918212926,-73.94643032431074,1,2889
3459,40.74198918212926,-73.94643032431074,40.74336884342213,-73.94297586253977,1,2889
3460,40.74336884342213,-73.94297586253977,40.743713991576,-73.94211085011312,1,2889
3461,40.743713991576,-73.94211085011312,40.743831338223025,-73.94177054483676,1,2889
3462,40.743831338223025,-73.94177054483676,40.74440484667729,-73.9403158189427,1,2889
3463,40.74440484667729,-73.9403158189427,40.744747945921446,-73.93925988538399,1,2889
3464,40.744747945921446,-73.93925988538399,40.74506608572005,-73.93826579164562,1,2889
3465,40.74506608572005,-73.93826579164562,40.74515512016017,-73.93789978186562,1,2889
3466,40.74515512016017,-73.93789978186562,40.745224038032234,-73.93761647353209,1,2889
3467,40.745224038032234,-73.93761647353209,40.74529947516246,-73.93731733271444,1,2889
3468,40.74529947516246,-73.93731733271444,40.7460298183418,-73.93441887053294,1,2889
3469,40.7460298183418,-73.93441887053294,40.746287980965256,-73.93326384425008,1,2889
3470,40.746287980965256,-73.93326384425008,40.74649696975567,-73.93226788786653,1,2889
3471,40.74649696975567,-73.93226788786653,40.74640476881872,-73.93133339877427,1,2889
3472,40.74640476881872,-73.93133339877427,40.74629636286861,-73.93041083061124,1,2889
3473,40.74629636286861,-73.93041083061124,40.74619186847341,-73.9295059575775,1,2889
3474,40.74619186847341,-73.9295059575775,40.746082531200706,-73.92855898876248,1,2889
3475,40.746082531200706,-73.92855898876248,40.74597338019252,-73.92762189196695,1,2889
3476,40.74597338019252,-73.92762189196695,40.74586534677145,-73.92669075563605,1,2889
3477,40.74586534677145,-73.92669075563605,40.745763832608546,-73.92580283267355,1,2889
3478,40.745763832608546,-73.92580283267355,40.74565281895517,-73.92484487425189,1,2889
3479,40.74565281895517,-73.92484487425189,40.74554497179862,-73.9239159730952,1,2889
3480,40.74554497179862,-73.9239159730952,40.74543786970015,-73.92298893458371,1,2889
3481,40.74543786970015,-73.92298893458371,40.745329836279076,-73.92205984716252,1,2889
3482,40.745329836279076,-73.92205984716252,40.74522385176772,-73.92113187732842,1,2889
3483,40.74522385176772,-73.92113187732842,40.74511581834665,-73.92020297617174,1,2889
3484,40.74511581834665,-73.92020297617174,40.74500983383528,-73.91927482007313,1,2889
3485,40.74500983383528,-73.91927482007313,40.74490086909162,-73.91834889914875,1,2889
3486,40.74490086909162,-73.91834889914875,40.744791904347956,-73.91741999799207,1,2889
3487,40.744791904347956,-73.91741999799207,40.74468591983659,-73.91649295948058,1,2889
