ID, Start Lat, Start Lon, End Lat, End Lon, num of paths, num of overlaps
0,40.76552091014805,-73.98003598257979,40.76432397434839,-73.97719582119277,19,2764
1,40.76432397434839,-73.97719582119277,40.76502749543698,-73.97668005473942,202,103149
2,40.76502749543698,-73.97668005473942,40.76502749543698,-73.97668005473942,39,10196
3,40.76502749543698,-73.97668005473942,40.763933377651874,-73.97411090822766,42,11569
4,40.763933377651874,-73.97411090822766,40.76365882375074,-73.97346494287547,49,10735
5,40.76365882375074,-73.97346494287547,40.762978026933474,-73.97185859766286,46,6729
6,40.762978026933474,-73.97185859766286,40.76234472756858,-73.97036307983912,19,3971
7,40.76234472756858,-73.97036307983912,40.76225122278,-73.970142356384,9,913
8,40.76225122278,-73.970142356384,40.761626305318465,-73.96863994677305,8,1491
9,40.761626305318465,-73.96863994677305,40.761626305318465,-73.96863994677305,39,11395
10,40.761626305318465,-73.96863994677305,40.76095016511418,-73.96703173891525,15,2116
11,40.76095016511418,-73.96703173891525,40.76155496600766,-73.96657632216609,247,114789
12,40.76155496600766,-73.96657632216609,40.7621858439338,-73.96611624880394,239,93894
13,40.7621858439338,-73.96611624880394,40.76281113392437,-73.96567387057112,270,105066
14,40.726791860017,-73.98898394381219,40.72618799044612,-73.98942892974829,116,88943
15,40.72618799044612,-73.98942892974829,40.72558188570101,-73.98986981786497,104,88796
16,40.72558188570101,-73.98986981786497,40.72558188570101,-73.98986981786497,17,6204
17,40.72558188570101,-73.98986981786497,40.724892520715876,-73.99037235953746,87,83299
18,40.724892520715876,-73.99037235953746,40.72463063280204,-73.99056942739865,104,94553
19,40.72463063280204,-73.99056942739865,40.72428902367403,-73.9908275900221,101,92566
20,40.72428902367403,-73.9908275900221,40.724185274336904,-73.99090433100397,89,68883
21,40.724185274336904,-73.99090433100397,40.7237382394911,-73.99100584516687,64,46418
22,40.7237382394911,-73.99100584516687,40.72359928615986,-73.99105669538058,67,49010
23,40.72359928615986,-73.99105669538058,40.7224120361152,-73.99164324235119,44,30428
24,40.7224120361152,-73.99164324235119,40.72124788287091,-73.99223686737352,46,31182
25,40.72124788287091,-73.99223686737352,40.72005578994876,-73.99283682538949,42,29379
26,40.72005578994876,-73.99283682538949,40.71990156292696,-73.99290555699703,45,42934
27,40.71990156292696,-73.99290555699703,40.71906989184923,-73.99335985615909,50,46257
28,40.71906989184923,-73.99335985615909,40.71815924461542,-73.99382402734065,44,40854
29,40.71815924461542,-73.99382402734065,40.716974416009506,-73.99445565032487,52,46252
30,40.716974416009506,-73.99445565032487,40.717293673395226,-73.99543987204373,39,35188
31,40.717293673395226,-73.99543987204373,40.71721581482625,-73.9954864381735,102,90496
32,40.71721581482625,-73.9954864381735,40.71664677672044,-73.99582935115313,102,90463
33,40.71664677672044,-73.99582935115313,40.71624016127527,-73.99607224008602,102,90430
